amfi_code,cagr_3yr,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
119551,30.456524420302888,1.2082665673727175,0.23201007160635082,-0.1501238549864533,1.54,0.875,0.925,0.775,0.2625,0.425,73.06
119552,16.267372294624916,0.9532794968660104,0.1986859936686296,-0.11803493502764295,0.66,0.45,0.725,0.65,0.925,0.275,61.25
119598,26.66992200118774,0.9453082575156095,0.3033696538698332,-0.2870600572176455,1.43,0.725,0.675,1.0,0.5,0.9,75.12
119599,-1.337386614488112,-0.05718662582817995,0.048824215945539845,-0.5257422117012851,0.72,0.075,0.225,0.125,0.8875,1.0,33.69
119120,5.840358798463097,-0.22657538662791576,0.05620895216638369,-0.04328728923970093,0.77,0.225,0.1,0.175,0.8,0.125,26.0
100016,1.292649342495622,-0.20151706755966936,0.03747580763443281,-0.24734440880673303,1.55,0.15,0.15,0.05,0.225,0.85,21.12
125497,18.434488610520173,0.7757902498211205,0.17729754927531766,-0.15200013055606398,0.92,0.55,0.575,0.625,0.675,0.45,58.0
100033,32.442459421956116,1.093698743534631,0.2719535450128533,-0.16217208574644848,1.38,0.925,0.85,0.875,0.6,0.5,80.5
125498,11.245222866621418,0.30061192104254786,0.11989100971217971,-0.21117279560132118,0.78,0.375,0.35,0.375,0.775,0.725,46.38
100025,3.9163899571040384,-0.5670947928476846,0.042817920315060876,-0.04308263824636349,0.56,0.175,0.05,0.075,0.975,0.1,23.62
120503,13.978381933703044,0.7979728586052847,0.17703302365844073,-0.13897862823061635,1.42,0.4,0.6,0.6,0.525,0.35,50.38
120504,32.48742855621496,1.0265242847993001,0.2119482701352573,-0.12588275606922517,0.8,0.95,0.775,0.7,0.725,0.3,75.75
120505,31.777537151234704,1.1801011976606492,0.2926358334175106,-0.18188513572116294,1.36,0.9,0.9,0.95,0.65,0.625,84.5
120506,18.421996537444542,0.6488787755249532,0.1625385327998104,-0.1982565826298267,1.41,0.525,0.525,0.525,0.55,0.675,54.38
120507,7.394286300360076,0.4957233929533123,0.06746210411099539,-0.0009773140045925555,0.74,0.3,0.45,0.25,0.85,0.025,38.25
118632,22.652359830098632,1.0816591793457042,0.21829397904608644,-0.17414075086657232,1.51,0.675,0.825,0.75,0.4125,0.575,67.81
118633,21.08997654925684,0.6452074382933215,0.15643835948169668,-0.18629743138595511,0.72,0.65,0.5,0.475,0.8875,0.65,61.31
118634,8.007927728656083,0.44843400890899127,0.1750072167561127,-0.2334488614483311,1.53,0.35,0.375,0.575,0.3125,0.8,44.06
118635,20.00820838047148,0.664856998549062,0.1513635464823924,-0.1165062450540909,0.89,0.6,0.55,0.45,0.7,0.25,53.75
118636,4.062205023777143,-0.35662950751436784,0.05074772999976104,-0.08316361763638702,0.55,0.2,0.075,0.15,1.0,0.15,27.38
120841,17.26727508371786,0.4942725378672349,0.13042924450705445,-0.1757361416468729,1.59,0.475,0.425,0.4,0.15,0.6,41.12
120842,7.756003551327284,0.07599984804658923,0.0780443887615508,-0.24003511326274884,1.56,0.325,0.275,0.3,0.2,0.825,33.88
120843,29.58277033726251,1.3067439695428409,0.27330465038306057,-0.1297396816518679,1.45,0.85,0.975,0.9,0.475,0.325,78.25
120844,6.695971624586994,-0.08874729621557288,0.06455677495375998,-0.0011629327956168556,0.6,0.275,0.175,0.225,0.95,0.05,31.88
119092,0.5258871209757432,0.03078485095458594,0.0689952982167755,-0.1440161790933726,1.64,0.125,0.25,0.275,0.0375,0.375,19.81
119093,20.816771175535862,0.12961449795669328,0.08232801295222093,-0.21751396370148224,0.75,0.625,0.3,0.325,0.825,0.775,52.88
119094,35.11180209642853,0.9982309868636413,0.2607666908004223,-0.20960883862039192,1.38,1.0,0.75,0.8,0.6,0.7,80.75
119095,-11.705806723995272,-0.0759735711747892,0.048015953637759554,-0.5167775370852656,1.38,0.025,0.2,0.1,0.6,0.975,26.5
101206,28.96769452874166,1.0272133278753695,0.21399784776051212,-0.11291596329323073,1.6,0.8,0.8,0.725,0.1125,0.225,62.44
101207,-4.152381044854481,0.16266076928646772,0.10897091901704538,-0.3544691649336603,1.53,0.05,0.325,0.35,0.3125,0.95,30.81
101208,6.315784491375509,-0.8155673679088263,0.060861457957871144,-0.0016224980244717857,0.79,0.25,0.025,0.2,0.75,0.075,24.12
102885,19.66726206830185,0.8170993373494367,0.17048756803412696,-0.1085986215250232,1.57,0.575,0.625,0.55,0.175,0.175,48.25
102886,-0.7674063178547241,-0.20583160785470309,0.028969397866379445,-0.2800112356639287,1.51,0.1,0.125,0.025,0.4125,0.875,21.56
102887,25.556187904126524,0.6195175900829828,0.16211256794033255,-0.21539827112383225,1.64,0.7,0.475,0.5,0.0375,0.75,50.94
148567,34.00091602163293,1.4482911703262598,0.2698375144191807,-0.11265729075028275,1.46,0.975,1.0,0.85,0.45,0.2,80.0
148568,14.748035533586012,0.9262873467360144,0.20873010086942337,-0.1527259422823477,1.52,0.425,0.65,0.675,0.3625,0.475,52.69
148569,29.178901578393777,1.2349300257743294,0.2827036785246582,-0.1639674294693263,1.6,0.825,0.95,0.925,0.1125,0.525,73.94
149322,18.04420648663614,0.46403744922047774,0.13173190226099432,-0.14844576917771746,1.54,0.5,0.4,0.425,0.2625,0.4,41.44
149323,26.869990828902203,1.1321218524747243,0.26598577542043045,-0.17248105753451382,1.61,0.75,0.875,0.825,0.075,0.55,67.5
149324,27.000426614519245,0.9497958246616031,0.3005787817097677,-0.31171900300634214,1.52,0.775,0.7,0.975,0.3625,0.925,74.94
